,total_bill,tip,sex,smoker,day,time
0,16.99,1.01,Female,No,Sun,Dinner
1,10.34,1.66,Male,No,Sun,Dinner
2,21.01,3.5,Male,No,Sun,Dinner
3,23.68,3.31,Male,No,Sun,Dinner
4,24.59,3.61,Female,No,Sun,Dinner
5,25.29,4.71,Male,No,Sun,Dinner
6,8.77,2.0,Male,No,Sun,Dinner
7,26.88,3.12,Male,No,Sun,Dinner
8,15.04,1.96,Male,No,Sun,Dinner
9,14.78,3.23,Male,No,Sun,Dinner
10,10.27,1.71,Male,No,Sun,Dinner
11,35.26,5.0,Female,No,Sun,Dinner
12,15.42,1.57,Male,No,Sun,Dinner
13,18.43,3.0,Male,No,Sun,Dinner
14,14.83,3.02,Female,No,Sun,Dinner
15,21.58,3.92,Male,No,Sun,Dinner
16,10.33,1.67,Female,No,Sun,Dinner
17,16.29,3.71,Male,No,Sun,Dinner
18,16.97,3.5,Female,No,Sun,Dinner
19,20.65,3.35,Male,No,Sat,Dinner
20,17.92,4.08,Male,No,Sat,Dinner
21,20.29,2.75,Female,No,Sat,Dinner
22,15.77,2.23,Female,No,Sat,Dinner
23,39.42,7.58,Male,No,Sat,Dinner
24,19.82,3.18,Male,No,Sat,Dinner
25,17.81,2.34,Male,No,Sat,Dinner
26,13.37,2.0,Male,No,Sat,Dinner
27,12.69,2.0,Male,No,Sat,Dinner
28,21.7,4.3,Male,No,Sat,Dinner
29,19.65,3.0,Female,No,Sat,Dinner
30,9.55,1.45,Male,No,Sat,Dinner
31,18.35,2.5,Male,No,Sat,Dinner
32,15.06,3.0,Female,No,Sat,Dinner
33,20.69,2.45,Female,No,Sat,Dinner
34,17.78,3.27,Male,No,Sat,Dinner
35,24.06,3.6,Male,No,Sat,Dinner
36,16.31,2.0,Male,No,Sat,Dinner
37,16.93,3.07,Female,No,Sat,Dinner
38,18.69,2.31,Male,No,Sat,Dinner
39,31.27,5.0,Male,No,Sat,Dinner
40,16.04,2.24,Male,No,Sat,Dinner
41,17.46,2.54,Male,No,Sun,Dinner
42,13.94,3.06,Male,No,Sun,Dinner
43,9.68,1.32,Male,No,Sun,Dinner
44,30.4,5.6,Male,No,Sun,Dinner
45,18.29,3.0,Male,No,Sun,Dinner
46,22.23,5.0,Male,No,Sun,Dinner
47,32.4,6.0,Male,No,Sun,Dinner
48,28.55,2.05,Male,No,Sun,Dinner
49,18.04,3.0,Male,No,Sun,Dinner
50,12.54,2.5,Male,No,Sun,Dinner
51,10.29,2.6,Female,No,Sun,Dinner
52,34.81,5.2,Female,No,Sun,Dinner
53,9.94,1.56,Male,No,Sun,Dinner
54,25.56,4.34,Male,No,Sun,Dinner
55,19.49,3.51,Male,No,Sun,Dinner
56,38.01,3.0,Male,Yes,Sat,Dinner
57,26.41,1.5,Female,No,Sat,Dinner
58,11.24,1.76,Male,Yes,Sat,Dinner
59,48.27,6.73,Male,No,Sat,Dinner
60,20.29,3.21,Male,Yes,Sat,Dinner
61,13.81,2.0,Male,Yes,Sat,Dinner
62,11.02,1.98,Male,Yes,Sat,Dinner
63,18.29,3.76,Male,Yes,Sat,Dinner
64,17.59,2.64,Male,No,Sat,Dinner
65,20.08,3.15,Male,No,Sat,Dinner
66,16.45,2.47,Female,No,Sat,Dinner
67,3.07,1.0,Female,Yes,Sat,Dinner
68,20.23,2.01,Male,No,Sat,Dinner
69,15.01,2.09,Male,Yes,Sat,Dinner
70,12.02,1.97,Male,No,Sat,Dinner
71,17.07,3.0,Female,No,Sat,Dinner
72,26.86,3.14,Female,Yes,Sat,Dinner
73,25.28,5.0,Female,Yes,Sat,Dinner
